age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,row_id,segmento_sociodemo,segmento_educacional
33,entrepreneur,married,secondary,False,2,True,True,,5.0,5.0,76,1,-1,0,,False,3,adulto casado,adulto no universitario
33,,single,,False,1,False,False,,5.0,5.0,198,1,-1,0,,False,5,adulto soltero,otros
35,management,married,tertiary,False,231,True,False,,5.0,5.0,139,1,-1,0,,False,6,adulto casado,adulto universitario
33,services,married,secondary,False,0,True,False,,5.0,5.0,54,1,-1,0,,False,20,adulto casado,adulto no universitario
32,blue-collar,single,primary,False,23,True,True,,5.0,5.0,160,1,-1,0,,False,23,adulto soltero,adulto no universitario
39,management,single,tertiary,False,255,True,False,,5.0,5.0,296,1,-1,0,,False,27,adulto soltero,adulto universitario
36,technician,single,secondary,False,265,True,True,,5.0,5.0,348,1,-1,0,,False,30,adulto soltero,adulto no universitario
36,admin.,divorced,secondary,False,506,True,False,,5.0,5.0,577,1,-1,0,,False,39,otros,adulto no universitario
37,admin.,single,secondary,False,0,True,False,,5.0,5.0,137,1,-1,0,,False,40,adulto soltero,adulto no universitario
36,admin.,single,primary,False,-171,True,False,,5.0,5.0,242,1,-1,0,,False,46,adulto soltero,adulto no universitario
32,management,married,tertiary,False,0,True,False,,5.0,5.0,179,1,-1,0,,False,53,adulto casado,adulto universitario
38,entrepreneur,single,tertiary,False,243,False,True,,5.0,5.0,174,1,-1,0,,False,56,adulto soltero,adulto universitario
38,management,single,tertiary,False,424,True,False,,5.0,5.0,104,1,-1,0,,False,57,adulto soltero,adulto universitario
32,admin.,married,tertiary,False,0,True,False,,5.0,5.0,138,1,-1,0,,False,61,adulto casado,adulto universitario
33,services,married,secondary,False,790,True,False,,5.0,5.0,391,1,-1,0,,False,64,adulto casado,adulto no universitario
35,blue-collar,single,secondary,False,12223,True,True,,5.0,5.0,177,1,-1,0,,False,70,adulto soltero,adulto no universitario
31,services,married,secondary,False,25,True,True,,5.0,5.0,172,1,-1,0,,False,72,adulto casado,adulto no universitario
