age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,row_id,segmento_sociodemo,segmento_educacional
58,management,married,tertiary,False,2143,True,False,,5.0,5.0,261,1,-1,0,,False,1,senior casado,senior universitario
44,technician,single,secondary,False,29,True,False,,5.0,5.0,151,1,-1,0,,False,2,adulto soltero,adulto no universitario
33,entrepreneur,married,secondary,False,2,True,True,,5.0,5.0,76,1,-1,0,,False,3,adulto casado,adulto no universitario
47,blue-collar,married,,False,1506,True,False,,5.0,5.0,92,1,-1,0,,False,4,adulto casado,otros
33,,single,,False,1,False,False,,5.0,5.0,198,1,-1,0,,False,5,adulto soltero,otros
35,management,married,tertiary,False,231,True,False,,5.0,5.0,139,1,-1,0,,False,6,adulto casado,adulto universitario
28,management,single,tertiary,False,447,True,True,,5.0,5.0,217,1,-1,0,,False,7,joven soltero,joven universitario
42,entrepreneur,divorced,tertiary,True,2,True,False,,5.0,5.0,380,1,-1,0,,False,8,otros,adulto universitario
58,retired,married,primary,False,121,True,False,,5.0,5.0,50,1,-1,0,,False,9,senior casado,senior no universitario
43,technician,single,secondary,False,593,True,False,,5.0,5.0,55,1,-1,0,,False,10,adulto soltero,adulto no universitario
41,admin.,divorced,secondary,False,270,True,False,,5.0,5.0,222,1,-1,0,,False,11,otros,adulto no universitario
29,admin.,single,secondary,False,390,True,False,,5.0,5.0,137,1,-1,0,,False,12,joven soltero,joven no universitario
53,technician,married,secondary,False,6,True,False,,5.0,5.0,517,1,-1,0,,False,13,senior casado,senior no universitario
58,technician,married,,False,71,True,False,,5.0,5.0,71,1,-1,0,,False,14,senior casado,otros
57,services,married,secondary,False,162,True,False,,5.0,5.0,174,1,-1,0,,False,15,senior casado,senior no universitario
51,retired,married,primary,False,229,True,False,,5.0,5.0,353,1,-1,0,,False,16,senior casado,senior no universitario
45,admin.,single,,False,13,True,False,,5.0,5.0,98,1,-1,0,,False,17,adulto soltero,otros
57,blue-collar,married,primary,False,52,True,False,,5.0,5.0,38,1,-1,0,,False,18,senior casado,senior no universitario
